,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD
174,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,3,20.0,20.0,40.5
175,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,5,11.67,10.0,270.865
176,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,6,9.17,1.64,55.403
177,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,8,20.0,20.0,1128.975
178,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,9,21.71,19.95,3472.757
179,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,10,0.0,0.0,40.41
180,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,11,15.0,15.0,264.898
181,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,12,3.75,0.51,2007.955
182,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,13,12.15,12.09,204.788
183,Mexico,MEX,1996,410975595.310156,0,0,0,0,0,0,0,0,7439.6359999999995,6841.765,7621.778,7513.794,15,13.24,13.68,5760.463000000002
184,Malta,MLT,1996,3570271.557884711,0,0,0,0,0,0,0,0,9223.423,8725.308,8687.677,8607.855,3,0.0,0.0,2.9960000000000004
