Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,408970,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,858,Uruguay,URY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,11045715,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,862,Venezuela,VEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,278699,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,887,Yemen,YEM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1737513,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,899,"Areas, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,573236,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,110317376,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2328052,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,16988,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,58,Belgium-Luxembourg,BEL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,289488,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,529,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,67054,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,3745,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2516479,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,203,Czechia,CZE,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2687,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,208,Denmark,DNK,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,35108,,,0
