,Unnamed: 0,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp
85,85,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,5,6.67,5.0,191.16099999999997,BRA
86,86,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,7,15.0,15.0,25.963,BRA
87,87,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,8,15.0,15.0,77.29,BRA
88,88,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,9,14.5,10.37,607.43,BRA
89,89,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,10,12.5,15.0,38.095,BRA
90,90,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,11,20.0,20.0,244.361,BRA
91,91,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,12,8.13,5.03,4215.573,BRA
92,92,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,13,7.5,5.05,216.32299999999998,BRA
93,93,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,14,10.0,10.0,0.376,BRA
94,94,Colombia,COL,1996,97160109.27780873,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,15,17.37,11.26,1668.092,BRA
95,95,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,6,19.0,19.0,0.259,BRA
96,96,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,7,14.0,14.0,0.19,BRA
