Year,Country Code,Commodity Code,Trade Value (US$)
1996,CPV,11,31710
1996,KOR,12,29849540
1996,,15,5105
1997,VEN,15,2591724
1997,,15,146299
1997,URY,15,4447777
1997,WLD,1,6860925
1997,GBR,15,13618081
1997,CHL,11,97186
1997,COL,11,166699
1997,CUB,11,3791
1997,ECU,11,33000
1997,FRA,11,53624
1997,DEU,11,5038
1997,ISR,11,899
1997,CPV,11,126130
1997,ITA,11,390036
1997,KOR,11,15840
1997,MYS,11,96460
1997,MEX,11,167639
1997,,11,16054
1997,NLD,11,4189
1997,PAN,11,7281
1997,PRY,11,2719699
1997,JPN,11,183383
1997,PRT,11,154226
1997,CAN,11,616
1997,BEL,11,3074
1997,PER,10,74682
1997,RUS,10,1190000
1997,SEN,10,1286199
1997,ZAF,10,6048
1997,ZWE,10,24210
1997,ESP,10,799
1997,THA,10,20899
1997,BOL,11,836033
1997,TTO,10,5896
1997,USA,10,1818297
1997,URY,10,1344120
1997,VEN,10,11660
1997,,10,2045
1997,WLD,11,11638457
1997,AGO,11,771525
1997,AUS,11,18449
1997,TUN,10,2960629
1997,PRY,10,3073120
1997,ZAF,11,7300
1997,SUR,11,129162
1997,COG,12,17397
1997,CRI,12,4151769
1997,CUB,12,3261553
1997,DNK,12,1614
1997,DOM,12,776473
1997,ECU,12,313687
1997,FRA,12,51845668
1997,COL,12,6807789
1997,GAB,12,4320
1997,GRC,12,10594423
1997,GTM,12,277816
1997,GUY,12,719
1997,HND,12,105290
1997,HKG,12,148551
1997,HUN,12,2834680
1997,IDN,12,16000
1997,DEU,12,132750384
1997,ESP,11,10728
1997,CHN,12,89827896
1997,CYM,12,118908
1997,CHE,11,640
1997,TUN,11,7500
1997,GBR,11,604
1997,USA,11,393007
1997,URY,11,890974
1997,VEN,11,652750
1997,,11,4214
1997,CHL,12,23469
1997,WLD,12,2476234496
1997,ARG,12,9111320
1997,AUS,12,40429
1997,AUT,12,3000
1997,BEL,12,34335500
1997,BOL,12,10971047
1997,BLZ,12,8233
1997,CPV,12,7358
1997,AGO,12,124670
1997,PAN,10,2761583
1997,NLD,10,27022336
1997,MEX,10,133942
1997,ISL,9,184186
1997,IRN,9,45759
1997,IRL,9,292120
1997,ISR,9,2994970
1997,ITA,9,285318688
1997,JPN,9,250439808
1997,JOR,9,3048822
1997,HUN,9,14051277
1997,PRK,9,867181
1997,LBN,9,31116664
1997,LBY,9,10440031
1997,MYS,9,48776
1997,MEX,9,4010678
1997,,9,954364
1997,MAR,9,273809
1997,OMN,9,1224572
1997,KOR,9,25144522
1997,NLD,9,64085416
1997,HKG,9,1008529
1997,HTI,9,51589
1997,CHL,9,18401846
1997,CHN,9,311369
1997,COL,9,830388
1997,CRI,9,56149
1997,CYP,9,4383395
1997,CZE,9,8800388
1997,DNK,9,68877344
1997,HND,9,62904
1997,DOM,9,129649
1997,FIN,9,49003464
1997,FRA,9,100793088
1997,PYF,9,392145
1997,GMB,9,372300
1997,DEU,9,543224576
1997,GRC,9,77547368
1997,GTM,9,84660
1997,ECU,9,4250
1997,NZL,9,232052
1997,NOR,9,41034368
1997,PRY,9,3146478
1997,USA,9,448649952
1997,URY,9,33341058
1997,VEN,9,389948
1997,,9,9988877
1997,WLD,10,54595968
1997,DZA,10,4083625
1997,AGO,10,1039321
1997,GBR,9,26500338
1997,ARG,10,4889433
1997,BOL,10,746828
1997,CPV,10,1236
1997,COL,10,107069
1997,ECU,10,139602
1997,FRA,10,1667
1997,IRN,10,1774032
1997,JPN,10,28470
1997,BEL,10,48218
1997,EGY,9,3472291
1997,TUR,9,21919148
1997,TUN,9,10623287
1997,PER,9,819750
1997,POL,9,1162945
1997,PRT,9,21360568
1997,QAT,9,97559
1997,ROU,9,2494406
1997,RUS,9,146535
1997,SAU,9,1735753
1997,SEN,9,213500
1997,SGP,9,705802
1997,SVK,9,64473676
1997,ZAF,9,3395466
1997,ESP,9,93918312
1997,SUR,9,27270
1997,SWE,9,109010416
1997,CHE,9,19783016
1997,SYR,9,17622752
1997,ARE,9,2472101
1997,ISR,12,559
1997,CPV,9,566221
1997,ITA,12,62516276
1997,JPN,12,137599904
1997,BGD,15,35702020
1997,BEL,15,3266549
1997,BOL,15,1079266
1997,CAN,15,132612
1997,CPV,15,57933
1997,CYM,15,263010
1997,CHL,15,2098976
1997,AUS,15,170153
1997,CHN,15,264102544
1997,CRI,15,283940
1997,CUB,15,3783952
1997,DNK,15,85436
1997,DOM,15,30095
1997,ECU,15,456658
1997,FRA,15,11511376
1997,DEU,15,6483028
1997,COL,15,2525735
1997,GRC,15,42943
1997,ARG,15,9377005
1997,WLD,15,750927680
1997,WLD,14,1341383
1997,ARG,14,134551
1997,BEL,14,66662
1997,BOL,14,268610
1997,DEU,14,58238
1997,ITA,14,1083
1997,NLD,14,96190
1997,AGO,15,1248987
1997,PAN,14,18718
1997,PRT,14,97900
1997,ESP,14,339825
1997,GBR,14,154389
1997,USA,14,68651
1997,URY,14,2543
1997,VEN,14,31865
1997,,14,1218
1997,PRY,14,940
1997,,13,2110
1997,GTM,15,22781
1997,HTI,15,1572000
1997,PRY,15,4425211
1997,PER,15,1498623
1997,PHL,15,168169
1997,PRT,15,80889
1997,RUS,15,18878
1997,SEN,15,1533080
1997,IND,15,10740599
1997,PAK,15,24256368
1997,SGP,15,455673
1997,ZWE,15,146205
1997,ESP,15,3596148
1997,SWE,15,799925
1997,CHE,15,773500
1997,SYR,15,87247
1997,THA,15,6949792
1997,TTO,15,901138
1997,ZAF,15,1219887
1997,GIN,15,935250
1997,NOR,15,2121024
1997,NLD,15,103231104
1997,HKG,15,36068952
1997,IDN,15,1097386
1997,IRN,15,90300728
1997,ISR,15,54389
1997,ITA,15,2905033
1997,CIV,15,64500
1997,JAM,15,470211
1997,NGA,15,59500
1997,JPN,15,24053076
1997,KOR,15,7221707
1997,MDG,15,4268000
1997,MYS,15,8226334
1997,MUS,15,1000000
1997,MEX,15,3693941
1997,,15,1825743
1997,MAR,15,5841156
1997,KEN,15,160999
1997,VEN,13,331236
1997,URY,13,42792
1997,USA,13,7530438
1997,ZAF,12,12187
1997,ESP,12,240170304
1997,SWE,12,18000
1997,THA,12,48354292
1997,TUR,12,16836852
1997,EGY,12,3775000
1997,GBR,12,46516704
1997,VNM,12,1733051
1997,USA,12,35040676
1997,UZB,12,10263757
1997,VEN,12,1660774
1997,,12,19152076
1997,WLD,13,36153200
1997,AGO,13,927
1997,ARG,13,2696402
1997,AUS,13,26158
1997,URY,12,23737606
1997,BEL,13,136342
1997,SVK,12,703
1997,PRT,12,4820317
1997,PRK,12,12934339
1997,KOR,12,10163350
1997,LBN,12,3577
1997,MYS,12,25793214
1997,MEX,12,16136883
1997,,12,57767000
1997,MAR,12,25574940
1997,RUS,12,12944576
1997,NLD,12,1267505792
1997,NIC,12,5303
1997,NOR,12,28765508
1997,PAN,12,189878
1997,PRY,12,4382986
1997,PER,12,21917
1997,PHL,12,3344396
1997,POL,12,8144
1997,NZL,12,2399
1997,BOL,13,26476
1997,CAN,13,541086
1997,CHL,13,43794
1997,,13,23400
1997,NLD,13,176202
1997,PAK,13,1399
1997,PAN,13,29699
1997,PRY,13,12618
1997,PER,13,104872
1997,POL,13,71539
1997,MEX,13,295569
1997,PRT,13,6046717
1997,SGP,13,1110
1997,ZAF,13,938325
1997,ESP,13,1663368
1997,SWE,13,123046
1997,CHE,13,1886
1997,TTO,13,27143
1997,GBR,13,6637631
1997,IND,13,4331550
1997,MLT,13,79492
1997,MYS,13,27600
1997,KOR,13,179038
1997,COL,13,463305
1997,CRI,13,63098
1997,CUB,13,39100
1997,CZE,13,1033
1997,DNK,13,82552
1997,DOM,13,5624
1997,ECU,13,16611
1997,FIN,13,14826
1997,FRA,13,474415
1997,DEU,13,664505
1997,GTM,13,32891
1997,GUY,13,3677
1997,HKG,13,571
1997,IDN,13,5906
1997,IRL,13,883
1997,ITA,13,168171
1997,JPN,13,1966069
1997,CIV,12,1274
1997,TUN,15,292788
1997,CAN,9,48932960
1997,BIH,9,51600
1997,ECU,3,31190
1997,FIN,3,5367
1997,FRA,3,718823
1997,DEU,3,1097353
1997,GRC,3,149455
1997,HKG,3,2071478
1997,HUN,3,5802
1997,DNK,3,35108
1997,IRL,3,750
1997,ITA,3,1657872
1997,JPN,3,23548512
1997,PRK,3,7050
1997,KOR,3,20000
1997,MEX,3,90000
1997,,3,1313518
1997,NLD,3,486823
1997,ISR,3,66109
1997,NOR,3,88243
1997,CZE,3,2687
1997,CHL,3,3745
1997,CHE,2,16110377
1997,ARE,2,37942744
1997,MKD,2,857342
1997,EGY,2,1638321
1997,GBR,2,66325792
1997,USA,2,408970
1997,URY,2,11045715
1997,CHN,3,2516479
1997,VEN,2,278699
1997,,2,573236
1997,WLD,3,110317376
1997,ARG,3,2328052
1997,AUT,3,16988
1997,BEL,3,289488
1997,BOL,3,529
1997,CAN,3,67054
1997,YEM,2,1737513
1997,SWE,2,945093
1997,PRY,3,82007
1997,SGP,3,90624
1997,HRV,4,33000
1997,ECU,4,100979
1997,FRA,4,95395
1997,DEU,4,34335
1997,GHA,4,2218
1997,GTM,4,1729
1997,CIV,4,499562
1997,COL,4,841964
1997,JPN,4,1605442
1997,MEX,4,130031
1997,,4,125619
1997,NLD,4,940000
1997,PRY,4,1465525
1997,PER,4,181925
1997,RUS,4,2515925
1997,SEN,4,118524
1997,KOR,4,40391
1997,PRT,3,2284287
1997,CHL,4,8740
1997,BOL,4,249780
1997,VNM,3,543000
1997,ZAF,3,6370
1997,ESP,3,4484536
1997,SWE,3,55339
1997,CHE,3,14031
1997,TTO,3,353221
1997,TUN,3,29151
1997,CPV,4,577
1997,GBR,3,65470
1997,URY,3,98753
1997,VEN,3,2174
1997,,3,1913
1997,WLD,4,19393786
1997,AGO,4,479548
1997,ARG,4,5205174
1997,BEL,4,34335
1997,USA,3,65588024
1997,ESP,2,54502448
1997,ZAF,2,6841425
1997,SVK,2,219630
1997,CHE,1,5000
1997,GBR,1,40600
1997,USA,1,447514
1997,URY,1,117569
1997,VEN,1,209888
1997,WLD,2,1295192192
1997,ALB,2,28770
1997,ESP,1,4304
1997,AGO,2,10843384
1997,ARG,2,117956984
1997,AUT,2,644759
1997,BHR,2,12853416
1997,BEL,2,7675564
1997,BOL,2,142946
1997,CPV,2,24042
1997,LKA,2,391430
1997,ATG,2,16102
1997,CHL,2,1906666
1997,SEN,1,49186
1997,PRY,1,2380008
1997,USA,15,27621392
1997,AGO,1,11050
1997,ARG,1,1650353
1997,AUT,1,18100
1997,BEL,1,7000
1997,BOL,1,865730
1997,CAN,1,1426
1997,PER,1,93470
1997,CPV,1,1572
1997,COL,1,29000
1997,ECU,1,59132
1997,FRA,1,2000
1997,DEU,1,15000
1997,GHA,1,72720
1997,MEX,1,7000
1997,NLD,1,4500
1997,CHL,1,768803
1997,CHN,2,5659595
1997,HRV,2,39762652
1997,CUB,2,204307
1997,MAC,2,66611
1997,MRT,2,227050
1997,MAR,2,178749
1997,OMN,2,8895297
1997,NLD,2,104223312
1997,ANT,2,4177855
1997,PRY,2,1065776
1997,LBY,2,262483
1997,PER,2,1011953
1997,PRT,2,8479184
1997,QAT,2,17264560
1997,ROU,2,304741
1997,RUS,2,39119932
1997,SAU,2,235779152
1997,SEN,2,126337
1997,SGP,2,28397608
1997,POL,2,724626
1997,LBN,2,911232
1997,JOR,2,360287
1997,JPN,2,154080416
1997,CZE,2,704784
1997,DNK,2,26915
1997,FIN,2,2714368
1997,FRA,2,5184620
1997,GAB,2,132942
1997,GMB,2,182776
1997,DEU,2,65026104
1997,GHA,2,29927
1997,GIB,2,171739
1997,GRC,2,2882550
1997,GRD,2,43417
1997,HKG,2,138645072
1997,HUN,2,341373
1997,IRN,2,229250
1997,IRL,2,2405998
1997,ISR,2,8970377
1997,ITA,2,64304912
1997,ZAF,4,2283
1997,BGR,9,359040
1997,ESP,4,38449
1997,USA,4,33186
1997,WLD,8,301004864
1997,AGO,8,3080
1997,ARG,8,13890949
1997,AUS,8,1550776
1997,AUT,8,53935
