,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff,Animal health,Consumer information,Cost saving,Food safety,Harmonization,Labelling,Lower barriers to trade,National security requirements,Not specified,Other,Plant protection,Prevention of deceptive practices and consumer protection,Protect humans from animal/plant pest or disease,Protect territory from other damage from pests,Protection of Human health or Safety,Protection of animal or plant life or health,Protection of the environment,Quality requirements
37,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,1,0.0,0.0,127.116,BRA,20.258920390704727,4.84510005540236,9.042949121388064,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,3,0.69,0.17,381.287,BRA,20.258920390704727,5.943552372392983,9.042949121388064,-1.7719568419318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,4,11.0,11.0,0.116,BRA,20.258920390704727,-2.1541650878757723,9.042949121388064,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,5,0.0,0.0,120.082,BRA,20.258920390704727,4.788174842749462,9.042949121388064,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,6,3.54,3.57,84.27799999999998,BRA,20.258920390704727,4.434120858232014,9.042949121388064,1.2725655957915476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,7,1.38,3.78,163.642,BRA,20.258920390704727,5.097681114937132,9.042949121388064,1.3297240096314962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,8,0.53,0.01,20483.294,BRA,20.258920390704727,9.92736490606385,9.042949121388064,-4.605170185988091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,9,0.0,0.0,48888.252,BRA,20.258920390704727,10.79729240120064,9.042949121388064,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,11,1.22,0.82,49.132,BRA,20.258920390704727,3.8945105536768483,9.042949121388064,-0.19845093872383832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,12,0.0,0.0,182.105,BRA,20.258920390704727,5.20458344379758,9.042949121388064,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,13,0.0,0.0,25.675,BRA,20.258920390704727,3.245517755814622,9.042949121388064,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Canada,CAN,1996,628546387.972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.353,7366.274,8458.686,8219.514000000001,15,2.0,0.0,594.756,BRA,20.258920390704727,6.388151237404563,9.042949121388064,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Switzerland,CHE,1996,330091423.94821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9534.491,8896.274,8969.549,8880.709,3,0.0,0.0,383.765,BRA,19.61488021632301,5.950030386085375,9.101590675082026,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Switzerland,CHE,1996,330091423.94821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9534.491,8896.274,8969.549,8880.709,6,0.0,0.0,8.781,BRA,19.61488021632301,2.1725902963778587,9.101590675082026,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Switzerland,CHE,1996,330091423.94821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9534.491,8896.274,8969.549,8880.709,7,0.0,0.0,11.515999999999998,BRA,19.61488021632301,2.443737372749929,9.101590675082026,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Switzerland,CHE,1996,330091423.94821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9534.491,8896.274,8969.549,8880.709,8,0.0,0.0,3034.262,BRA,19.61488021632301,8.01772351082746,9.101590675082026,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Switzerland,CHE,1996,330091423.94821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9534.491,8896.274,8969.549,8880.709,9,0.0,0.0,27134.943,BRA,19.61488021632301,10.208577585887227,9.101590675082026,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Switzerland,CHE,1996,330091423.94821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9534.491,8896.274,8969.549,8880.709,12,0.0,0.0,10807.645,BRA,19.61488021632301,9.288009033060623,9.101590675082026,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
