Country Code,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
SHN,0,0,0,0,0,0,0,0,4356.125,4511.365,4060.822,3956.808
SLB,0,0,0,0,0,0,0,0,15359.06,15871.73,15898.59,15860.18
SLE,0,0,0,0,0,0,0,0,5085.813,4676.264,4678.447,4533.019
SLV,0,0,0,0,0,0,0,0,6210.195,5598.948,6040.358,5961.898
SMR,0,0,0,0,0,0,0,0,9623.186,9034.358,9050.903,8967.342
SOM,0,0,0,0,0,0,0,0,10309.24,10427.49,10135.65,10100.31
SPM,0,0,0,0,0,0,0,0,7871.671,6999.4,7331.242,7219.931
STP,0,1,1,0,0,0,0,0,6334.176,6256.27,6058.838,5992.617
SUR,1,0,0,0,0,0,0,0,3402.776,2540.839,3056.092,2721.456
SVK,0,0,0,0,0,0,0,0,10191.96,9583.929,9752.413,9672.648
SVN,0,0,0,0,0,0,0,0,9891.706,9292.304,9340.652,9258.833
SWE,0,0,0,0,0,0,0,0,10936.15,10235.23,10185.49,10099.92
SWZ,0,0,0,0,0,0,0,0,7728.15,8176.895,7839.778,7806.021
SYC,0,0,0,0,0,0,0,0,11036.87,11300.58,10952.12,10927.62
SYR,0,0,0,0,0,0,0,0,10825.58,10459.68,10477.03,10417.96
TCA,0,0,0,0,0,0,0,0,5668.201,4859.09,5294.21,5163.771
TCD,0,0,0,0,0,0,0,0,7791.363,7590.976,7502.798,7436.509
TGO,0,0,0,0,0,0,0,0,6170.232,5951.629,5847.457,5758.974
THA,0,0,0,0,0,0,0,0,16409.97,16629.35,16232.15,16215.13
TJK,0,0,0,0,0,0,0,0,13787.02,13416.81,13320.35,13276.05
TKL,0,0,0,0,0,0,0,0,13077.56,13283.89,13383.41,13351.26
TKM,0,0,0,0,0,0,0,0,12871.23,12503.56,12471.6,12419.32
TMP,0,1,0,0,0,0,0,0,16361.97,17230.33,16796.4,16765.85
TON,0,0,0,0,0,0,0,0,12568.05,12965.23,13046.32,13005.66
TTO,0,0,0,0,0,0,0,0,4133.307,3300.022,3726.339,3508.443
TUN,0,0,0,0,0,0,0,0,8979.379,8447.175,8380.654,8294.732
TUR,0,0,0,0,0,0,0,0,10590.76,10374.6,10224.84,10152.14
TUV,0,0,0,0,0,0,0,0,13906.55,14180.94,14404.92,14371.17
TWN,0,0,0,0,0,0,0,0,18821.26,18523.81,18260.39,18232.16
TZA,0,0,0,0,0,0,0,0,9299.757,9153.108,8965.497,8923.682
UGA,0,0,0,0,0,0,0,0,8932.303,9009.302,8730.261,8692.082
UKR,0,0,0,0,0,0,0,0,11155.24,10568.55,10689.79,10615.94
URY,1,0,0,0,0,0,0,0,1567.878,2283.672,2167.731,1829.131
USA,0,0,0,0,0,0,0,0,7694.307,6794.436,8088.514,7887.2
UZB,0,0,0,0,0,0,0,0,13836.31,13423.63,13248.79,13197.04
VCT,0,0,0,0,0,0,0,0,4386.27,3543.185,3972.844,3773.723
VEN,1,0,0,0,0,0,0,0,4393.217,3606.018,4081.522,3882.55
VGB,0,0,0,0,0,0,0,0,5064.433,4226.851,4647.183,4485.934
VNM,0,0,0,0,0,0,0,0,17191.68,17207.4,16837.64,16820.94
VUT,0,0,0,0,0,0,0,0,14074.32,14584.6,14673.01,14631.16
WLF,0,0,0,0,0,0,0,0,13184.5,13487.29,13600.27,13565.17
WSM,0,0,0,0,0,0,0,0,14142.49,14567.7,13172.47,13137.34
YEM,0,0,0,0,0,0,0,0,10779.75,10700.02,10458.9,10420.09
YUG,0,0,0,0,0,0,0,0,10200.5,9638.061,9600.665,9524.34
ZAF,0,0,0,0,0,0,0,0,6355.119,7900.19,7342.994,7280.527
ZAR,0,0,0,0,0,0,0,0,6967.733,7019.619,7235.597,7150.393
ZMB,0,0,0,0,0,0,0,0,7826.946,8113.184,7833.171,7796.626
ZWE,0,0,0,0,0,0,0,0,8017.05,8348.187,7918.615,7883.487
