Year,Country Code,PIB
1997 ,EUU,9290133473951.08
1997 ,HPC,144545669088.52
1997 ,HIC,25645087960308.6
1997 ,IBD,5657112859451.24
1997 ,IBT,6062797769099.98
1997 ,IDB,179226444683.071
1997 ,IDX,224966433606.617
1997 ,IDA,405789892684.355
1997 ,LTE,3482509185814.61
1997 ,LCN,2278595992508.32
1997 ,LAC,2085058220918.88
1997 ,TLA,2186084791601.51
1997 ,LDC,181617045315.586
1997 ,LMY,5786395124109.35
1997 ,LIC,107591853545.758
1997 ,LMC,1255078964808.26
1997 ,MEA,832628249900.705
1997 ,MNA,405985873292.812
1997 ,TMN,402189741286.849
1997 ,MIC,5678512064450.62
1997 ,NAC,9233311210265.78
1997 ,OED,25254846183793.5
1997 ,OSS,76671793835.2942
1997 ,PSS,3995612013.1774
1997 ,PST,24496072342392.7
1997 ,PRE,202156491969.476
1997 ,SST,108791500114.645
1997 ,SAS,550763509095.13
1997 ,TSA,550763509095.13
1997 ,SSF,382774358817.622
1997 ,SSA,382208107781.358
1997 ,TSS,382774358817.622
1997 ,UMC,4423746464150.42
1997 ,WLD,31439654102117.2
1998 ,ALB,2545967253.2416
1998 ,DZA,48187747528.899
1998 ,AND,1211932397.81713
1998 ,AGO,6506229607.29432
1998 ,ATG,727860592.592593
1998 ,ARG,298948250000
1998 ,ARM,1893726437.26462
1998 ,ABW,1665100558.65922
1998 ,AUS,398899138574.239
1998 ,AUT,218259904401.956
1998 ,AZE,4446370371.15023
1998 ,BHS,6833220000
1998 ,BHR,6183776595.74468
1998 ,BGD,49984559471.3656
1998 ,BRB,2874459304.92716
1998 ,BLR,15222012660.4232
1998 ,BEL,258528339631.029
1998 ,BLZ,688992450
1998 ,BEN,2455092582.30927
1998 ,BMU,3130748000
1998 ,BTN,376955087.251575
1998 ,BOL,8497545598.08352
1998 ,BIH,4116699437.4041
1998 ,BWA,4790458837.17078
1998 ,BRA,863723411632.917
1998 ,BRN,4051147227.53346
1998 ,BGR,14942172233.5833
1998 ,BFA,2804902723.73145
1998 ,BDI,893770806.077641
1998 ,CPV,521910560.524868
1998 ,KHM,3120425502.58253
1998 ,CMR,10612847429.35
1998 ,CAN,631813279406.808
1998 ,CAF,967338348.658314
1998 ,TCD,1744794457.276
1998 ,CHI,5945677376.61477
1998 ,CHL,81577430181.4074
1998 ,CHN,1029043097554.08
1998 ,COL,98443739941.1664
1998 ,COM,370106776.043329
1998 ,COD,6215591269.89747
1998 ,COG,1949481296.60762
1998 ,CRI,13617405297.2511
1998 ,CIV,12612033728.8572
1998 ,HRV,25467053258.5294
1998 ,CUB,25736331200
1998 ,CYP,10248617647.0588
1998 ,CZE,66490372105.1262
1998 ,DNK,176991934992.837
1998 ,DJI,514267869.300758
1998 ,DMA,322409851.851852
1998 ,DOM,21672526562.7869
1998 ,ECU,27981896948.4742
1998 ,EGY,84828807556.0803
1998 ,SLV,10936669900
1998 ,GNQ,370687618.717326
1998 ,ERI,745526154.93283
1998 ,EST,5665917232.17266
1998 ,SWZ,1576904292.4588
1998 ,ETH,7818224905.55071
1998 ,FRO,1107882640.8787
1998 ,FJI,1656784779.545
1998 ,FIN,134038718291.055
1998 ,FRA,1503108739159.44
1998 ,PYF,3775160797.38928
1998 ,GAB,4483417119.83928
1998 ,GMB,840285264.631545
1998 ,GEO,3613498174.54701
1998 ,DEU,2238990774702.68
1998 ,GHA,7480968858.13149
1998 ,GRC,144428172835.236
1998 ,GRL,1149862702.96084
1998 ,GRD,445903592.592593
1998 ,GTM,19395491992.9939
1998 ,GIN,3588376057.01536
1998 ,GNB,206457544.497703
1998 ,GUY,717530683.169567
1998 ,HTI,3723909226.86781
1998 ,HND,6366340265.87888
1998 ,HKG,168886163221.567
1998 ,HUN,48706787306.2574
1998 ,ISL,8494094642.90999
1998 ,IND,421351477504.743
1998 ,IDN,95445547872.715
1998 ,IRN,110276913362.539
1998 ,IRL,90082051923.2926
1998 ,IMN,1382548249.78303
1998 ,ISR,115932846846.136
1998 ,ITA,1270052525928.4
1998 ,JAM,8763219645.29332
1998 ,JPN,4032509760872.94
1998 ,JOR,8023356840.62059
1998 ,KAZ,22135245413.2312
1998 ,KEN,14093998843.7334
1998 ,KIR,65334841.0604347
1998 ,KOR,374241351752.483
1998 ,KWT,25939960629.9213
1998 ,KGZ,1645963749.83146
1998 ,LAO,1280177838.71905
1998 ,LVA,7145882282.85476
1998 ,LBN,17247179005.5219
1998 ,LSO,928458205.958432
1998 ,LBY,27249786142.0017
1998 ,LIE,2479721340.8746
1998 ,LTU,11240360897.7126
1998 ,LUX,20209122027.1171
1998 ,MAC,6742367273.27418
1998 ,MDG,3738704467.51878
1998 ,MWI,1750584265.28754
1998 ,MYS,72167498980.8398
1998 ,MDV,540096397.621071
1998 ,MLI,2920358586.75234
1998 ,MLT,3923637971.04652
1998 ,MHL,112279400
1998 ,MRT,1375115531.95102
1998 ,MUS,4169664285.38681
1998 ,MEX,526502129378.284
1998 ,FSM,218873091.437411
1998 ,MDA,1698717504.65549
1998 ,MCO,2934578821.10938
1998 ,MNG,1124440248.9783
1998 ,MAR,41806219378.6181
1998 ,MOZ,5613212495.5788
1998 ,NAM,3826527630.55551
1998 ,NPL,4856255044.39064
1998 ,NLD,438008220395.468
1998 ,NCL,3158806480.26107
1998 ,NZL,56227169851.0448
1998 ,NIC,4635267224.84195
1998 ,NER,2076737356.67897
1998 ,NGA,54604050168.1818
1998 ,MKD,3756208791.20879
1998 ,NOR,154163364302.66
1998 ,OMN,14085373211.9636
1998 ,PAK,62191955814.3478
1998 ,PAN,11575486400
1998 ,PNG,3789443014.61662
1998 ,PRY,9260481572.42462
1998 ,PER,55501467877.381
1998 ,PHL,72207028767.7598
1998 ,POL,174388271853.6
1998 ,PRT,123946327916.296
1998 ,PRI,54086400000
1998 ,QAT,10255495027.4725
1998 ,ROU,41694118972.5101
1998 ,RUS,270955486862.442
1998 ,RWA,1989343495.21844
1998 ,WSM,269481523.200465
1998 ,SAU,146775498080
1998 ,SEN,6368265193.69888
1998 ,SRB,18284194680.3844
1998 ,SYC,608369282.225727
1998 ,SLE,672375927.347148
1998 ,SGP,85728310229.4455
1998 ,SVK,29856000671.216
1998 ,SVN,22146232111.9446
1998 ,SLB,471177008.057148
1998 ,ZAF,137774755609.072
1998 ,ESP,619214834614.099
1998 ,LKA,15794972847.1683
1998 ,KNA,383257146.034924
1998 ,LCA,784752481.481482
1998 ,VCT,373619851.851852
1998 ,SDN,11250327988.0478
1998 ,SUR,1110850000
1998 ,SWE,268916086994.805
1998 ,CHE,295044833770.175
1998 ,SYR,15200846138.4615
1998 ,TJK,1320242080.86531
1998 ,TZA,12270448700.1994
1998 ,THA,113675706127.265
1998 ,TGO,1587345950.9743
1998 ,TON,188686997.319035
1998 ,TTO,6043694330.21609
1998 ,TUN,21803372266.6198
1998 ,TUR,275768693191.091
1998 ,TKM,2605688065.08338
